# 欽定詞譜 (1715), one row per 格 (metrical pattern) of one 詞牌 (tune title).
# THE TRADITION'S OWN SPEC. Doctrine 62: the primary source states the rule you
# were about to invent, and here it states the one thing a text can never
# supply -- WHICH line ends the tune mandates as rhymes and which it does not.
# Without it a ci rhyme measurement has to infer its own ground truth from the
# characters it is scoring, which is doctrine 13's circularity in one step.
#
# SOURCE  hulbji/couyun, MIT (LICENSE at repo root, covers the repository),
#         couyun/ci_pu/ci_list/cipai_*.json -- 817 per-詞牌 files transcribed
#         from the 欽定詞譜. Reached by `git clone https://github.com/hulbji/
#         couyun` (data/CHANNELS.md). The 欽定詞譜 itself is a 1715 imperial
#         compilation: a millennium-adjacent work three centuries out of any
#         term (doctrine 40, the outer layer is MIT and the inner layer is
#         expired).
#
# COLUMNS
#   tune      the 詞牌, in traditional characters
#   aliases   other names the 詞譜 gives the same tune, '|' separated
#   chars     total characters in the 格
#   groups    the rhyme groups: positions '.' separated within a group, groups
#             '/' separated. Positions are 0-based indices into the poem's
#             character sequence with all punctuation stripped. TWO POSITIONS
#             RHYME IFF THEY ARE IN THE SAME GROUP.
#   ju        line ends the spec marks 句 -- it mandates NO rhyme there. This
#             column is what makes a matched control possible at all.
#   du        讀 positions: a phrase break INSIDE a line, not a line end.
#   template  the 平仄 template, 中 where the tune leaves the tone free.
#
# HOW groups WAS BUILT, and why not from the source's own `yun_classify`.
# `yun_classify` is not a spec statement: on 菩薩蠻 格三 it places positions
# 6/13 in the same group as 18/23, and 菩薩蠻 changes rhyme between them --
# 雪 does not rhyme 眉. The groups here are read from what the notation prints:
# a new group at every 换 marker, and at every change in the register the
# template mandates at consecutive rhyme positions. That declines to assert a
# 平仄通叶 relation anywhere, which is the conservative direction: it can only
# split a real group, never merge two.
#
# THE MARKER GRAMMAR IS LOCALLY AMBIGUOUS and the parse is constrained, not
# guessed. 平 and 仄 are both template symbols and rhyme-marker prefixes
# (平韵, 仄韵, 换平韵, 换仄韵), so `中仄中平仄韵` is five template positions plus
# 韵 or four plus 仄韵. The parse is a search required to satisfy the source's
# own two invariants at once -- the template length must equal `ge_lyu_str`
# and the 韻 positions must equal `rhyme_pos`. 8 of 2,294 格 admit no such
# parse and are REFUSED rather than resolved by a tie-break (doctrine 66).
# Reading every 平/仄 as template instead -- the obvious first pass -- drops
# every 換韻 tune including 菩薩蠻's canonical 格, and drops them SILENTLY,
# because a mis-parse fails the invariant and looks like an unparsable file.
tune	aliases	chars	groups	ju	du	template
少年遊		51	12.25.38.45.50	3.7.16.20.29.33		平平仄仄平平仄仄平仄仄平平平平仄仄仄平平仄仄仄仄平平平平仄仄平平仄仄平仄仄平平平平平仄仄平平平仄仄平平
少年遊		52	12.25.38.45.51	3.7.16.20.29.33	48	平平仄仄仄平平仄平仄仄平平平平仄仄仄平平仄平仄仄平平仄平平仄平平仄仄仄仄仄平平仄平平仄仄平平仄仄仄仄平平
少年遊		49	11.24.36.48	3.7.17.28.32.43	20.39	平平平仄仄仄平平平平仄仄仄仄仄仄平仄仄仄仄平平仄仄仄平平仄仄平平仄平平平仄仄仄仄仄平平仄仄仄平仄仄
偷聲木蘭花		50	6.13/17.24/31.38/42.49			中平中仄平平仄中仄平平平仄仄中仄平平仄仄平平仄仄平平平中仄平平仄中仄中平平仄仄中仄平平中仄中平中仄平
滴滴金		50	6.12.24.31.37.49	19.44	9.34	中平中仄中平仄中中中仄平仄中中平中仄中平仄平中平仄中中中中平中仄中平中仄平仄中中平中仄平平仄中平平仄
滴滴金		50	6.12.19.24.31.37.44.49		9.34	平平仄仄平平仄仄平平仄平仄仄仄平平仄平仄仄平平平仄平平仄仄平平仄仄平平仄平仄平仄平平仄平仄仄仄平平仄
滴滴金		50	6.12.19.24.31.37.49	44	9.34	平平仄仄平平仄仄平仄仄平仄仄仄平平平仄仄仄平平平仄平平平仄平平仄仄平平仄平仄仄仄平平仄平平仄仄平平仄
滴滴金		51	6.12.24.31.38.50	19.45	9	仄平平仄平平仄平仄仄仄平仄仄仄平平仄仄平仄平平平仄仄平仄仄平平仄仄仄平平仄平仄仄仄平平仄平平仄平平平仄
憶漢月		50	5.11.24.36.49	18.29.43	32	平仄仄平平仄仄仄平平平仄仄平平仄仄平平仄仄仄平平仄平平平仄仄平仄仄仄平平仄仄平平仄仄平平平仄仄平平仄
憶漢月		50	5.11.24.35.49	18.29.42	45	平仄平仄平仄平仄仄平平仄仄平平仄仄平平平仄平平平仄仄平平仄仄仄仄仄平平仄平仄平平仄平仄仄仄仄平平平仄
憶漢月		52	5.11.25.37.44.51	18.30	21.33.47	平仄仄平平仄中仄仄平平仄中平中仄中平平仄平中仄平平仄中平平仄仄中仄仄仄平平仄中中中中仄平仄仄中中仄平平仄
憶漢月		52	5.11.25.30.37.51	18.44	21.33.47	平仄仄平平仄仄仄仄平平仄仄平仄仄仄平平仄平平仄平平仄平平平仄仄仄仄仄仄平平仄仄平平仄仄平平仄仄仄仄平平仄
西江月		50	11.18/24/36.43/49	5.30		中仄中平中仄中平中仄平平中平中仄仄平平中仄中平中仄中仄中平中仄中平中仄平平中平中仄仄平平中仄中平中仄
西江月		50	5/11.18/24.30/36.43/49			仄仄平平仄仄平平平仄平平平平仄仄仄平平平仄平平平仄仄仄平平仄仄仄平平仄平平仄平仄仄仄平平仄仄平平平仄
西江月		50	11.18/24/36.43/49	5.30		平仄仄平仄仄仄平仄仄平平仄平仄仄仄平平平仄平平平仄平仄平平平仄仄平平仄平平仄平平仄仄平平平仄平平平仄
西江月		51	5/11.18/24.31/37.44/50			仄仄平平平仄平平仄仄平平仄平平仄仄平平仄仄仄平平仄平平仄仄平平仄平平仄仄平平仄平平仄仄平平仄仄平平仄仄
西江月		56	11.18.27.39.46.55	5.33	22.50	仄仄平平平仄仄平平仄平平仄平平仄仄平平仄仄平平平仄仄平平仄仄平平仄仄仄平仄仄平平仄平平仄仄平平仄仄仄平平仄仄平平
惜春令		50	6.13.25.30.37.49	20.44	9.33	平仄平平平仄平平平仄仄仄平平仄仄平平平仄仄平仄仄平平仄仄平平平仄平仄平仄平平仄仄平平平仄仄平仄仄平平
惜春令		50	6/13.25/30/37.49	20.44	9.33	平仄平平平仄仄平仄仄仄平平平仄平平仄平平仄平仄仄平平平仄平平仄仄平仄仄平平平平平平仄平平仄平仄仄平平
留春令		50	11.24.31.36.49	3.7.18.43	21.46	仄平平仄仄平中仄中平平仄仄仄平平仄平平仄中仄平平仄仄仄平平平中仄仄中平平仄平仄平平仄平平仄中仄平平仄
留春令		50	11.24.31.36.49	3.7.15.19.40.44		仄仄平平仄平平仄仄平平仄平仄平平平平仄仄仄仄平平仄仄仄平平平仄仄仄仄平平仄平平仄仄平平仄仄仄仄平平仄
留春令		52	11.24.31.37.51	3.7.19.46	14.40	仄平平仄平平平仄平平平仄仄仄平仄仄仄平仄仄仄平平仄平平仄仄平平仄平仄仄平平仄仄仄平平仄平平平仄仄仄平平仄
留春令		54	6.13.26.33.40.53	20.47	9.23.36	平平仄仄平平仄仄仄仄仄平平仄平平平仄仄平平仄仄仄平平仄仄仄平平平平仄平平仄仄平平仄仄平平仄仄平平仄仄仄平平仄
梁州令		50	4.10.24.31.36.42.49	17		仄仄平平仄仄仄平平平仄平平仄仄仄平平平平仄仄平平仄平平平仄平平仄仄仄平平仄平平仄仄平仄平平仄仄平平仄
梁州令		52	4.10.26.33.38.44.51	17.21		仄仄平平仄中中中平平仄平平平仄仄平平中平中仄仄仄平平仄中平仄仄平平仄中仄平平仄中平中仄平仄平平仄仄平平仄
梁州令		55	4.10.26.33.38.54	17.21.45.49		仄仄平平仄平平仄平平仄平平平仄仄平平平平仄仄平仄平平仄平平仄仄平平仄仄仄平平仄仄平平仄平平仄仄仄平平平仄仄平仄
梁州令		104	4.10.26.33.38.51.56.62.78.85.90.103	17.21.44.69.73.96		中仄平平仄仄仄平平中仄平平中仄仄平平中平中仄仄仄平平仄中平仄仄平平仄仄仄平平仄中平中仄平仄平平仄仄平平仄仄仄平平仄中中中平平仄中平平仄仄平平平平中仄仄仄平平仄平平仄仄平平仄平仄平平仄平平仄仄平仄平平仄仄平平仄
鹽角兒		50	3.7.11.23.29.36.49	15.19.26.43	39	平平仄仄仄平仄仄平平平仄平平仄仄平平仄仄仄平平仄仄平平平平仄平平仄平平平仄仄平仄平平仄仄平仄仄平平仄
歸田樂		50	9.18.26.37.49	2.12.23.32.44	15.29.40	平仄仄仄仄平平平仄仄平平仄仄平仄平仄仄仄平平仄仄仄平仄仄仄仄平平仄平平平平仄仄平仄平平平仄仄平平仄仄
歸田樂		50	6.12.24.31.37.49	17.42		平平平仄平平仄平仄仄平平仄仄仄仄平平平仄平平仄平仄平平仄仄平平仄平仄仄平平仄平仄仄平平平仄仄平平平仄
歸田樂		71	4.11.16.25.32.37.45.54.63.70	21.49.59	7.40	仄仄平平仄仄中中仄平中仄中中中平仄仄中仄仄仄中仄中仄仄仄平平仄平仄平平中仄仄仄仄仄中平平仄仄仄平中仄中仄平平仄仄中仄仄仄仄中平仄中仄平平仄平仄
歸田樂		71	4.11.16.21.25.32.37.45.54.59.63.70	49	7.40	仄仄平平仄仄平平仄平平仄平平仄平仄仄仄仄仄仄仄仄平仄仄仄平平仄平仄平平平仄仄仄仄仄仄平平仄仄仄平仄仄仄仄平平仄仄仄仄仄仄仄仄平仄平仄平平仄平仄
歸田樂		70	4.16.21.25.32.37.44.53.58.62.69	11.48	7	仄仄平平仄仄仄平仄平仄仄仄仄平平仄仄仄仄仄仄仄仄仄仄仄仄平平仄平仄平平仄仄仄仄平平平平平仄仄平平仄平仄平平仄仄仄仄仄仄仄仄平仄仄仄平平仄平仄
惜分飛		50	6.12.17.24.31.37.42.49			中仄中平平中仄中仄中平中仄中仄平平仄仄平中仄平平仄中中中中平中仄中仄中平中仄中仄平平仄仄平中仄平平仄
惜分飛		52	6.13.18.25.32.39.44.51		9.35	平仄仄平平仄仄中中仄中平中仄仄仄平平仄仄平仄仄平平仄仄平平仄平平仄中仄仄平平中仄仄仄平平仄仄平仄仄平平仄
惜分飛		54	6.13.19.26.33.40.46.53		9.36	平仄平平平平仄平仄仄平平仄仄平仄仄仄平仄仄平平仄平平仄仄仄平平平仄仄平仄仄平平仄仄平仄仄仄平仄仄平平仄平平仄
惜分飛		56	6.13.18.27.34.41.46.55		9.22.37.50	仄仄平平平仄仄仄仄仄仄平平仄仄仄平平仄平仄平平平仄平平仄仄仄平平平仄仄仄仄仄平平仄仄仄仄平平仄平仄平平仄仄平平仄
惜分飛		56	6.13.18.27.34.41.46.55		9.24.37.52	仄仄平平平仄仄仄平仄平平仄仄仄仄平平仄仄仄平仄平平平平仄仄仄平平平仄仄仄仄仄平平仄仄仄仄仄平仄仄平仄仄平平平平仄
孤館深沉		50	6.11.24.36.49	16.20.31.39.43	27	平平仄仄仄平平平仄仄平平仄仄仄平平仄仄仄平平仄平平仄仄仄仄平平仄仄仄仄平平仄平仄仄平平仄仄平平仄平平
促拍採桑子		50	4.11.23.37.49	15.19.30.41.45	7.33	平仄仄平平仄平平平仄平平平平仄仄平平仄仄平仄平平仄仄平平平仄仄仄平平平仄平平平平仄仄平平仄仄仄仄平平
怨三三		50	6.10.17.23.29.36.41.49	45	20.32	平平仄仄仄平平仄仄平平仄仄平平仄仄平仄平仄仄平平平平仄仄平平仄平仄平平仄平仄仄仄平平平平平仄仄仄平平
使牛子		50	6.12.24.31.37.49	17.42		仄平仄仄平平仄平仄仄平仄仄平仄仄平平平仄平平仄平仄仄平仄仄平平仄平仄平平仄仄仄仄仄平平仄仄平平平仄仄
折丹桂		50	6.11.24.31.36.49	18.43	21.46	平平仄仄平平仄仄仄平平仄中平中仄仄平平仄仄仄平平仄中平中仄平平仄中仄平平仄中平平仄仄平平仄仄仄平平仄
竹香子		50	5.11.23.29.36.49	18.43	32	仄仄平平平仄仄仄仄平仄仄平平仄仄仄平平仄仄平平仄平平仄仄仄仄仄仄平仄仄平仄平平仄仄仄平平仄仄平平仄仄
城頭月		50	6.11.24.31.36.49	15.19.40.44		平平仄仄平平仄仄仄平平仄中仄平平平平仄仄仄仄平平仄仄平中仄平平仄仄仄平平仄仄仄平平平平仄仄平仄平平仄
四犯令		50	6.11.18.24.31.36.43.49		21.46	仄仄平平平仄仄仄仄平平仄中仄平平平中仄平仄仄平平仄中仄平平平仄仄中仄平平仄中仄中平平中仄平仄仄平平仄
醉高歌		50	5/11.18.24/30/36.43.49			仄平平仄平平仄仄平平仄仄平平平仄平平仄仄仄平平仄仄平平仄仄平平仄仄平平仄仄平平仄仄平仄仄仄仄平平仄仄
黃鶴洞仙		50	9.19.24.34.44.49	4.16.29.41		平仄仄平平平仄平平仄仄仄平平仄仄平平仄仄仄仄平平仄仄仄仄平平仄仄平平仄仄仄平平仄仄平仄仄仄平仄平平仄
破字令		50	4.11.23.30.37.49	18.41.45	7.33	仄仄平平仄仄仄仄平平平仄平平平仄仄平平仄平平仄仄平平仄仄平平仄仄平平仄平平仄仄平仄仄平平仄仄仄平平仄
花前飲		50	6.13.24.31.38.49	18.43	9.21.34.46	仄平平仄仄平仄仄平仄平平平仄仄仄平仄平仄仄仄平平仄仄仄平平仄平仄仄平仄平平平仄仄仄平仄平仄仄仄仄仄仄
導引		50	8.13.25.32.37.49	3.20.44		中平中仄中仄仄平平中仄仄平平中平中仄平平仄中仄仄平平中平中仄中平平中仄仄平平中平中仄平平仄中仄仄平平
導引		50	8.13.25.37.49	3.20.32.44		中平中仄中仄仄平平中仄仄平平中平中仄平平仄中仄仄平平中平中仄平平仄中仄仄平平中平中仄平平仄中仄仄平平
導引		100	8.13.25.37.49.58.63.75.82.87.99	3.20.32.44.53.70.94		中平中仄中仄仄平平中仄仄平平中平中仄平平仄中仄仄平平中平中仄平平仄中仄仄平平中平中仄平平仄中仄仄平平中平中仄中仄仄平平中仄仄平平中平中仄平平仄中仄仄平平中平中仄仄平平中仄仄平平中平中仄平平仄中仄仄平平
導引		100	8.13.25.37.49.58.63.75.87.99	3.20.32.44.53.70.82.94		平平仄仄仄仄仄平平仄仄仄平平仄平仄仄平平仄仄仄仄平平平平仄仄平平仄仄仄仄平平平平仄仄平平仄平仄仄平平仄平平仄仄仄仄平平仄仄仄平平仄平仄仄平平仄平仄仄平平平平仄仄平平仄仄仄仄平平平平平仄平平仄仄仄仄平平
導引		100	8.13.25.32.37.49.58.63.75.82.87.99	3.20.44.53.70.94		仄平仄仄仄仄仄平平仄仄仄平平平平仄仄平平仄仄仄仄平平仄平仄仄仄平平仄仄仄平平平平仄仄平平仄仄仄仄平平平平仄仄平仄仄平平仄仄仄平平平平仄仄平平仄平仄仄平平平平仄仄仄平平平仄仄平平平平仄仄平平仄仄仄仄平平
思越人		51	11.24/31.37.44.50	2.5.18		仄平平平仄仄中平中仄平平中仄中平平仄仄中平中仄平平中平中仄平平仄中平中仄平仄中仄中平平中仄中平中仄平仄
探春令		51	11.18.24.31.36.50	3.7.43	21.39	中平中仄仄平平仄中平平仄仄平仄仄平平仄仄中仄平平仄中平中仄平中仄仄平平中仄仄仄平仄仄平平平仄仄仄平平仄
探春令		52	11.19.25.32.37.46.51	3.7	14.22.40	仄平平仄仄平平仄仄平平仄仄中仄平仄平平仄仄仄仄平平仄平平平仄平平仄仄平平平仄仄仄平平仄平平平仄仄仄平平仄
探春令		52	11.19.25.32.37.51	3.7.42.46	14.22	仄平平仄仄平平仄平平平仄仄平平仄仄平平仄仄平仄平平仄仄平平仄平平仄仄平平平仄仄仄平仄仄平平仄仄仄仄平平仄
探春令		52	11.25.32.37.51	3.7.16.20.42.46		平平平仄仄平平仄平平平仄仄中平中仄平平中仄中仄平中仄平平仄仄平仄仄仄平平平仄仄仄平仄仄平平仄仄仄仄平平仄
探春令		52	11.25.32.37.51	3.7.20.46	14.40	平平平仄仄平平仄仄平平仄仄平平平仄平平仄仄仄仄平平仄平平仄仄平平仄仄平平平仄仄平平仄仄仄平仄仄仄仄平平仄
探春令		52	11.20.25.32.37.51	3.7.46	14.40	平平平仄仄平平仄仄平平仄仄平中仄仄平平平仄平仄平平仄平平仄仄平平仄仄平平仄仄仄平平仄仄平平平仄仄仄平平仄
探春令		52	3.7.11.25.32.37.51	20.42.46	16	平平平仄仄平平仄平平平仄仄平平仄仄平平平仄仄仄平平仄仄平平仄平平仄仄平平仄仄仄仄平仄仄平平平仄仄仄平平仄
探春令		53	11.26.33.38.52	3.7.16.20.43.47	23	平平平仄仄平平仄平平平仄仄平平平仄平平仄仄仄平仄平平仄平平平仄平平仄仄平平平仄仄仄平平仄平平平仄仄仄平平仄
探春令		52	11.19.25.32.37.45.51	3.7	14.22.40.48	平平仄仄仄平平仄平平平仄仄仄平平仄平平仄仄平仄平平仄平平仄仄平平仄仄平平平仄仄仄平中仄平平仄仄中仄平平仄
探春令		52	11.19.25.32.37.51	6.45	14.22.40.48	中平中仄中平平仄平平中仄仄中平中仄平平仄仄中仄平平仄中平中仄平平仄仄中中中仄仄中平仄仄平平仄仄中仄平平仄
探春令		52	11.25.32.37.51	6.19.45	14.22.40.48	仄平平仄仄平平仄平平仄仄仄仄平仄仄平平仄仄平仄平平仄平平平仄平平仄仄平平平仄仄仄平仄仄平平仄仄平仄平平仄
探春令		52	11.25.32.37.51	6.16.20.42.46		仄平平仄仄平平仄平平平仄仄平平仄仄平平仄仄仄仄平平仄平平仄仄平平仄仄平平平仄仄平平仄仄平平仄仄仄仄平平仄
探春令		52	6.11.19.25.32.37.46.51	15.42	22	平平仄仄平平仄仄平平平仄仄平平仄平平平仄平仄仄平平仄平平仄平平平仄仄仄仄仄仄仄平平仄仄仄仄仄仄仄仄平平仄
越江吟		51	6.8.14.17.21.24.31.34.40.43.47.50		27	平平平仄平平仄仄仄仄平中仄平仄平平仄平平仄仄平平仄中平平平中平仄中平仄平平仄中中仄平平仄平平仄仄平平仄
越江吟		51	3.6.8.14.17.21.24.31.34.40.43.47.50		27	平平平仄平平仄仄仄仄平平仄平仄平平仄平平仄仄平平仄仄平平平仄平仄仄平仄平平仄仄平仄平平仄平平仄仄平平仄
燕歸梁		51	6.11.18.24.37.44.50	28.32	21.47	中仄平平仄仄平中中仄平平中平中仄仄平平中中仄仄平平中平中仄平平中仄中仄仄平平中平中仄仄平平中中仄仄平平
燕歸梁		51	6.11.18.24.37.44.50	31	21.34.47	仄仄平平仄仄平仄仄仄平平仄平仄仄仄平平仄仄仄仄平平中平中仄平平仄中中仄仄平平平平仄仄仄平平仄仄仄仄平平
燕歸梁		50	6.10.17.23.36.43.49	30	20.33.46	仄仄平平仄仄平仄仄平平仄平平仄仄平平平平仄仄平平平平仄仄平平仄平平仄仄平平仄平平仄仄平平仄仄仄仄平平
燕歸梁		52	6.12.19.25.38.45.51	32	9.22.35.48	平仄平平仄仄平中中仄仄平平仄平平仄仄平平仄仄仄仄平平平平仄仄平平仄平平仄仄平平仄平仄仄仄平平仄仄仄仄平平
雨中花令		51	5.11.23.30.37.50	18.45	33.40	中仄中平中仄中中中平中仄中仄平平平仄仄中仄平平仄中仄中平平仄仄仄中仄仄平平仄仄仄仄仄平平仄仄中仄平平仄
雨中花令		51	5.11.23.30.36.50	18.41.45		平仄平平仄仄仄仄仄平平仄平仄平平平仄仄仄仄平平仄仄仄仄平平仄仄仄仄仄仄平仄平仄仄平平平平仄仄仄仄平平仄
雨中花令		52	5.11.24.31.37.51	15.19.42.46		平仄平平平仄平仄平平平仄仄仄平平平平平仄仄仄平平仄仄仄仄平平仄仄平仄仄平平仄仄平仄平平平平仄仄平仄平平仄
雨中花令		52	5.11.24.31.38.51	15.19.42.46	34	平仄仄平仄仄仄仄仄平平仄仄仄平平平平仄仄平仄平平仄仄仄平平平仄仄仄平仄仄平平仄平仄仄平平平仄仄仄仄平平仄
雨中花令		52	6.12.25.32.38.51	16.20.42.46		仄仄平平平仄仄仄平仄平平仄仄仄平平平平仄仄仄仄平平仄平仄平平平仄仄平平仄平平仄仄仄平平平平平仄仄仄平平仄
雨中花令		54	6.13.26.33.40.53	17.21.44.48	9.36	中仄中平平仄仄仄中中中平中仄中仄平平中平中仄中仄平平仄仄仄中平平仄仄中中中中平中仄仄仄平平中平中仄仄仄平平仄
雨中花令		55	6.13.26.34.41.54	17.21.45.49	9.29.37	平仄平平平仄仄仄仄仄平平仄仄仄仄平平仄平平仄仄仄平平仄仄仄仄平平平仄仄仄平仄平平仄仄仄仄平平平平仄仄仄仄平平仄
雨中花令		54	6.13.26.33.40.53	17.21.44.48	2.9.36	中中仄平平中仄仄仄仄仄平平仄仄仄平平平平平仄仄仄平平仄仄仄平平平仄仄平仄仄仄平平仄仄仄平平平平仄仄仄仄平平仄
雨中花令		53	5.12.25.32.39.52	16.20.43.47	8.35	平仄平平平仄平平仄仄平平仄仄仄平平平平平仄仄仄平平仄平仄平平平仄仄平平仄仄平仄仄仄仄平平平平平仄仄仄平平仄
雨中花令		56	6.13.27.34.41.55	18.22.46.50	9.37	仄仄平平平仄仄仄平仄仄平仄仄仄平仄平平平平平仄仄仄平平仄仄仄平平平仄仄仄仄仄平平平仄仄仄仄平平平平平仄仄仄平平仄
雨中花令		70	10.22.34.45.57.69	6.16.26.30.41.51.61.65	2.37	平仄仄平平平仄仄仄平平仄仄平平仄仄平平仄仄平平仄平平仄仄平平仄仄仄平平平仄仄仄平平仄平仄平平平仄平平仄仄平平仄仄平平仄平平仄仄平平仄平仄平平
鳳來朝		51	4.11.19.25.31.38.44.50		7.16.22.34.41.47	仄仄平平仄仄平平仄平仄仄仄平平仄仄平平仄仄中仄仄平仄仄仄平平中仄仄平平仄平仄仄仄仄仄平平仄仄仄仄仄平仄
秋夜雨		51	6.12.24.38.43.50	17.31	20.34.46	平平仄仄平平仄平平中仄平仄中平平仄仄仄仄仄平平平仄平平仄仄平平仄仄仄平平仄平仄中仄平仄仄仄仄仄平平平仄
伊州令		51	6.11.25.31.36.50	18.43	21.46	平平仄仄平平仄平仄平平仄平仄平平平仄平仄仄仄平平仄仄平平平仄平仄平仄平平仄平平仄仄仄平平仄平仄平平仄仄
木笪		51	4.9.16.25.29.34.41.50	21.46		仄平平仄仄平仄平平仄仄仄平平平仄仄平平平仄仄仄平平仄仄平平仄平仄平平仄仄仄平平平仄仄平平平仄仄仄仄平仄
迎春樂		52	6.12.20.26.33.40.51	46	9.15.23.29.36	中平中仄平平仄中中中中平仄仄平平仄仄平平仄中仄仄平平仄中仄仄中平中仄中中仄中平平仄仄仄平平中仄仄仄平平仄
迎春樂		53	6.12.20.26.34.41.52	47	9.15.23.29.37	平平仄仄平平仄仄平平仄平仄仄平平仄仄平平仄仄仄仄平平仄平仄仄平平平仄仄平仄仄仄平平仄仄仄平平仄仄仄仄平平仄
迎春樂		51	6.12.19.25.32.39.50	45	9.22.28.35	平平仄仄平平仄平仄仄平平仄仄平平仄平平仄仄仄仄平平仄仄仄仄仄平仄仄仄平仄平平平仄仄仄平平平仄仄仄平平仄
迎春樂		51	6.12.19.25.32.39.50	45	9.15.22.35.42	平平仄仄平平仄平平仄平平仄仄平平仄仄平仄平仄仄平平仄仄仄平平平仄仄仄平仄平平平仄仄仄仄平平仄仄仄平平仄
迎春樂		51	6.12.19.25.32.39.50	44	9.22.35.47	中平仄仄平平仄仄平平仄平仄中平中仄平平仄中中仄平平仄中仄中平平仄仄中中仄仄平平仄中仄中中平中中仄平平仄
迎春樂		51	6.12.25.32.39.50	19.44	9.22.35.47	平平仄仄平平仄平平仄平平仄平平平仄平平仄平仄仄平平仄仄仄平平仄仄仄仄仄仄仄平平仄仄仄仄平平平平仄平平仄
迎春樂		52	6.12.20.26.33.40.51	45.48	9.15.23.36	平平仄仄平平仄中中仄中平仄仄中平仄仄平平仄中仄仄中平仄中仄中平平仄仄中中仄中平中仄中仄仄平平中中仄平平仄
夢仙郎		52	3.7.14/19.24/30.34.41/46.51		10.37	平平平仄平平仄仄平仄仄仄平平仄平仄仄平平平仄仄平平平仄平平平仄平平仄仄平仄仄仄平平仄平仄仄平平平仄仄平平
青門引		52	4.10.26.33.38.51	17.21.44		仄仄平平仄平仄仄平平仄平平仄仄仄平平中平中仄仄仄仄平仄平平仄仄平平仄仄仄平平仄仄平仄仄平仄仄平仄仄平平仄
菊花新		52	6.13.25.32.39.51	18.44	21.35.47	仄仄平平平仄仄中仄中平中中仄平仄仄平平平中仄中中平仄中平中中平中仄中中平中平平仄中中仄平平中中中仄中平仄
菊花新		52	6.13.18.25.32.39.51	44	21.35.47	仄仄平平平仄仄仄仄平平仄平仄平平仄平仄平平仄仄仄平仄平平平仄平仄仄平仄平仄平平仄仄仄仄平平平仄仄仄仄平仄
醉紅妝		52	6.12.19.25.32.38.51	9.22.35.45.48		平平仄仄仄平平仄平平仄仄平仄平平仄仄平平平平仄仄平平平平平仄仄平平仄平仄仄平平仄仄平平平仄仄平仄仄仄平平
思遠人		52	11.25.32.37.51	6.16.20.42.46		平仄平平平仄仄平仄仄平仄仄平平仄仄平平平仄平仄仄平仄仄平仄仄平平仄仄仄仄平仄仄仄仄仄平仄平平仄平平仄平仄
醉花陰		52	6.11.25.32.37.51	16.20.42.46		中中中中平中仄中中平中仄中仄仄平平中仄平平中仄平平仄仄平仄仄平平仄中仄平平仄中仄仄平平中仄平平中仄平平仄
望江東		52	6.12.19.25.32.38.45.51		9.22.35.48	平仄平平仄平仄仄仄仄平平仄平平仄仄仄平仄仄仄仄平平仄平平仄仄平平仄仄仄仄平平仄仄平平仄仄平仄仄平仄平平仄
入塞		52	2.8.18.21.24.31.38.45.48.51	13	5.34	仄平平仄平平仄仄平仄平平仄仄仄仄仄平平平仄平仄仄平仄平平平仄仄平仄仄平平仄仄平平平平仄仄平平平仄平仄仄平
品令		52	2.11.25.37.51	19.31.45	5.14.22.40.48	仄中仄中中仄中仄平平中仄中平中中仄中中仄仄中中中仄仄中仄中平中仄仄仄平中平仄中中中中仄平中仄中中中中中仄
品令		51	2.11.24.37.50	5.18.31.44	21.47	平平仄平平仄仄平仄仄平仄仄平仄仄仄平平平仄平仄仄仄仄仄平平平仄仄仄仄平平平仄仄平仄仄平平仄平平仄仄平仄
品令		55	3.10.17.26.33.38.45.49.54	21	6	中平平仄中中仄中平中仄平中中仄平平仄中平仄仄中仄平平仄中仄中平平仄仄仄平平平仄仄中中中平中仄仄平平仄中仄平平仄
品令		55	3.10.17.26.33.38.45.54	21.49	6	仄平平仄平平仄仄平平仄平仄仄仄平平仄仄平仄仄平仄平平仄平仄仄平平仄仄仄平平平仄仄平平仄平平仄仄平平仄平仄平平仄
品令		55	3.10.17.21.26.33.38.45.49.54		6	平平平仄仄仄仄平平仄仄平平平仄平平仄平平仄仄仄仄平平仄仄仄平平平仄仄仄平平平仄仄仄平平平仄仄仄平平仄平仄平平仄
品令		64	3.9.21.31.35.41.53.63	13.17.25.45.49.57	6.38	中平中仄仄中仄平平仄中平中仄中平平仄中平中仄中仄平平中仄仄平中仄平平中仄仄中仄平平仄中平中仄中中中仄中平中仄中仄平平中仄中平中仄
品令		64	3.9.21.31.35.41.53.63	13.17.27.45.49.59	6.38	平平平仄仄仄仄平平仄仄平平仄仄平平仄仄平平仄平仄平平平仄仄平仄仄平平平仄仄仄仄平平仄平平仄仄仄平平仄仄平平仄仄仄平平平仄仄平平仄
品令		63	3.8.20.30.34.40.52.62	12.16.24.44.48.56	37	平平仄仄平仄平平仄仄平平仄仄平平仄仄平平仄仄仄平平仄仄仄平仄仄平平仄仄仄平仄平平仄平平平仄平仄平仄平平平仄平仄平平平仄仄平平仄
品令		60	9.19.29.39.49.59	3.13.23.33.43.53	6.36	仄平仄仄仄仄仄平平仄平平仄仄仄仄平平仄仄仄仄平平平仄仄平平仄平平仄仄仄平仄平平仄仄平仄仄平仄平平仄仄仄仄平平平仄仄平平仄
