author	lang	born	died	tradition	pd_route	pd_expired	status	corpus_path	note
Richard Davies (Mynyddog)	eng	1833	1877	welsh	b (verified author death year)	1947	FOUND_NOT_ON_LIST		Welsh song lyricist writing TO existing tunes. GITenberg Gwaith-Mynyddog.-Cyfrol-II_14547, reachable today. Not on the 220-name list; found by the celtic cell. The project already has a Welsh phonology, so this is immediately usable.
Dafydd ap Gwilym	cym	1315	1350	welsh	c (author death year circa, not verified)	1420	PENDING_TEXT		table life: c. 1315–c. 1350; death bounded at 1350 (circa), not verified
Gruffudd ab Adda ap Dafydd	cym			welsh	d (floruit only; upper bound assumed)	1480	PENDING_TEXT		table life: fl. c. 1340–1370; death bounded at 1410 (floruit), not verified
Gruffudd Llwyd ap Dafydd ab Einion Llygliw	cym			welsh	d (floruit only; upper bound assumed)	1520	PENDING_TEXT		table life: fl. c. 1380–1410; death bounded at 1450 (floruit), not verified
Dafydd Nanmor	cym			welsh	d (century only; upper bound assumed)	1570	PENDING_TEXT		table life: 15th century; death bounded at 1500 (century), not verified
Guto'r Glyn	cym	1440	1493	welsh	b (verified author death year)	1563	PENDING_TEXT		table life: 1440–1493
Lewis Glyn Cothi	cym			welsh	d (floruit only; upper bound assumed)	1596	PENDING_TEXT		table life: fl. 1447–1486; death bounded at 1526 (floruit), not verified
Rhys Goch Glyndyfrdwy	cym			welsh	d (floruit only; upper bound assumed)	1570	PENDING_TEXT		table life: fl. c. 1460; death bounded at 1500 (floruit), not verified
Tudur Aled	cym			welsh	d (floruit only; upper bound assumed)	1636	PENDING_TEXT		table life: fl. 1480–1526; death bounded at 1566 (floruit), not verified
William Williams Pantycelyn	cym	1717	1791	welsh	b (verified author death year)	1861	PENDING_TEXT		table life: 1717–1791
Morgan Rhys	cym	1716	1779	welsh	b (verified author death year)	1849	PENDING_TEXT		table life: 1716–1779
Edward Parry	cym	1723	1786	welsh	b (verified author death year)	1856	PENDING_TEXT		table life: 1723–1786
John Williams	cym	1728	1806	welsh	b (verified author death year)	1876	PENDING_TEXT		table life: 1728–1806
David William	cym	1720	1794	welsh	b (verified author death year)	1864	PENDING_TEXT		table life: 1720–1794
Dafydd Jones	cym	1711	1777	welsh	b (verified author death year)	1847	PENDING_TEXT		table life: 1711–1777
William Lewis	cym			welsh	d (floruit only; upper bound assumed)	1904	PENDING_TEXT		table life: fl. 1786–1794; death bounded at 1834 (floruit), not verified
John James (Ioan ap Iago)	cym			welsh	d (century only; upper bound assumed)	1970	PENDING_TEXT		table life: 18th–19th century; death bounded at 1900 (century), not verified
William Owen (Gwilym Alaw)	cym	1762	1853	welsh	b (verified author death year)	1923	PENDING_TEXT		table life: 1762–1853
Jonathan Powell	cym	1764	1823	welsh	b (verified author death year)	1893	PENDING_TEXT		table life: 1764–1823
William Jones	cym	1764	1822	welsh	b (verified author death year)	1892	PENDING_TEXT		table life: 1764–1822
Thomas Lewis	cym	1759	1842	welsh	b (verified author death year)	1912	PENDING_TEXT		table life: 1759–1842
Thomas William	cym	1761	1844	welsh	b (verified author death year)	1914	PENDING_TEXT		table life: 1761–1844
John James	cym	1777	1848	welsh	b (verified author death year)	1918	PENDING_TEXT		table life: 1777–1848
John Hughes	cym	1775	1854	welsh	b (verified author death year)	1924	PENDING_TEXT		table life: 1775–1854
Evan Evans (Ieuan Glan Geirionydd)	cym	1795	1850	welsh	b (verified author death year)	1920	PENDING_TEXT		table life: 1795–1850
Mary Owen	cym	1796	1875	welsh	b (verified author death year)	1945	PENDING_TEXT		table life: 1796–1875
David Saunders (Dafydd Glan Teifi)	cym	1769	1840	welsh	b (verified author death year)	1910	PENDING_TEXT		table life: 1769–1840
John Robert Jones (Alltud Glyn Maelor)	cym	1800	1881	welsh	b (verified author death year)	1951	PENDING_TEXT		table life: 1800–1881
William Griffith	cym	1801	1881	welsh	b (verified author death year)	1951	PENDING_TEXT		table life: 1801–1881
William Thomas	cym	1790	1861	welsh	b (verified author death year)	1931	PENDING_TEXT		table life: 1790–1861
John Phillips (Tegidon)	cym	1810	1877	welsh	b (verified author death year)	1947	PENDING_TEXT		table life: 1810–1877
William Morgan (Gwilym Gelli-deg)	cym	1808	1878	welsh	b (verified author death year)	1948	PENDING_TEXT		table life: 1808–1878
William Alonzo Griffiths	cym	1842	1893	welsh	b (verified author death year)	1963	PENDING_TEXT		table life: 1842–1893
Rees Jenkin Jones	cym	1835	1924	welsh	b (verified author death year)	1994	PENDING_TEXT		table life: 1835–1924
William Morgan (Penfro)	cym	1846	1918	welsh	b (verified author death year)	1988	PENDING_TEXT		table life: 1846–1918
David William Lewis	cym	1845	1920	welsh	b (verified author death year)	1990	PENDING_TEXT		table life: 1845–1920
Rūdakī	fas	858	941	persian	c (author death year circa, not verified)	1011	PENDING_TEXT		table life: c. 858–941; death bounded at 941 (circa), not verified
Shahīd Balkhī	fas		936	persian	b (verified author death year)	1006	PENDING_TEXT		table life: d. 936
Abū Shakūr Balkhī	fas	915		persian	c (birth year only; upper bound assumed)	1085	PENDING_TEXT		table life: b. 915; death bounded at 1015 (birth), not verified
Daqīqī	fas	935	980	persian	c (author death year circa, not verified)	1050	PENDING_TEXT		table life: c. 935–980; death bounded at 980 (circa), not verified
Kisāʾī Marvazī	fas	953		persian	c (death bounded below only; upper bound assumed)	1112	PENDING_TEXT		table life: 953–after 1002; death bounded at 1042 (after), not verified
Firdawsī	fas	940	1020	persian	b (verified author death year)	1090	PENDING_TEXT		table life: 940–1020
Farrukhī Sīstānī	fas		1037	persian	b (verified author death year)	1107	PENDING_TEXT		table life: d. 1037
ʿUnṣurī	fas		1039	persian	b (verified author death year)	1109	PENDING_TEXT		table life: d. 1039
ʿAsjadī	fas		1040	persian	c (author death year circa, not verified)	1110	PENDING_TEXT		table life: d. c. 1040; death bounded at 1040 (circa), not verified
Manūchihrī	fas		1040	persian	b (verified author death year)	1110	PENDING_TEXT		table life: d. 1040
Bābā Ṭāhir	fas	1000	1055	persian	c (author death year circa, not verified)	1125	PENDING_TEXT		table life: c. 1000–1055; death bounded at 1055 (circa), not verified
Abū Saʿīd Abū al-Khayr	fas	967	1049	persian	b (verified author death year)	1119	PENDING_TEXT		table life: 967–1049
Fakhr al-Dīn Asʿad Gurgānī	fas			persian	d (floruit only; upper bound assumed)	1160	PENDING_TEXT		table life: fl. 1050; death bounded at 1090 (floruit), not verified
Nāṣir Khusraw	fas	1004	1088	persian	b (verified author death year)	1158	PENDING_TEXT		table life: 1004–1088
Masʿūd Saʿd Salmān	fas	1046	1121	persian	b (verified author death year)	1191	PENDING_TEXT		table life: 1046–1121
ʿUmar Khayyām	fas	1048	1131	persian	b (verified author death year)	1201	PENDING_TEXT		table life: 1048–1131
Sanāʾī	fas	1080	1131	persian	b (verified author death year)	1201	PENDING_TEXT		table life: 1080–1131
Muʿizzī	fas	1048	1125	persian	b (verified author death year)	1195	PENDING_TEXT		table life: 1048–1125
Azraqī Haravī	fas		1130	persian	c (author death year circa, not verified)	1200	PENDING_TEXT		table life: d. c. 1130; death bounded at 1130 (circa), not verified
Anvarī	fas	1126	1189	persian	b (verified author death year)	1259	PENDING_TEXT		table life: 1126–1189
Khāqānī	fas	1122	1190	persian	b (verified author death year)	1260	PENDING_TEXT		table life: 1122–1190
Niẓāmī Ganjavī	fas	1141	1209	persian	b (verified author death year)	1279	PENDING_TEXT		table life: 1141–1209
Ẓahīr Fāryābī	fas		1201	persian	b (verified author death year)	1271	PENDING_TEXT		table life: d. 1201
Mahsatī Ganjavī	fas			persian	d (century only; upper bound assumed)	1270	PENDING_TEXT		table life: fl. 12th c.; death bounded at 1200 (century), not verified
ʿAṭṭār	fas	1145	1221	persian	c (author death year circa, not verified)	1291	PENDING_TEXT		table life: c. 1145–1221; death bounded at 1221 (circa), not verified
Kamāl al-Dīn Ismāʿīl	fas		1237	persian	b (verified author death year)	1307	PENDING_TEXT		table life: d. 1237
Bahāʾ al-Dīn Valad	fas	1151	1231	persian	b (verified author death year)	1301	PENDING_TEXT		table life: 1151–1231
Rūmī	fas	1207	1273	persian	b (verified author death year)	1343	PENDING_TEXT		table life: 1207–1273
Saʿdī	fas	1210	1292	persian	c (author death year circa, not verified)	1362	PENDING_TEXT		table life: c. 1210–1292; death bounded at 1292 (circa), not verified
Fakhr al-Dīn ʿIrāqī	fas	1213	1289	persian	b (verified author death year)	1359	PENDING_TEXT		table life: 1213–1289
Awḥad al-Dīn Kirmānī	fas	1164	1238	persian	b (verified author death year)	1308	PENDING_TEXT		table life: 1164–1238
Sayf Farghānī	fas		1348	persian	c (author death year circa, not verified)	1418	PENDING_TEXT		table life: d. c. 1348; death bounded at 1348 (circa), not verified
Amīr Khusraw Dihlavī	fas	1253	1325	persian	b (verified author death year)	1395	PENDING_TEXT		table life: 1253–1325
Awḥadī Marāghaʾī	fas	1274	1338	persian	b (verified author death year)	1408	PENDING_TEXT		table life: 1274–1338
Khwājū Kirmānī	fas	1280	1352	persian	b (verified author death year)	1422	PENDING_TEXT		table life: 1280–1352
ʿUbayd Zākānī	fas		1370	persian	b (verified author death year)	1440	PENDING_TEXT		table life: d. 1370
Ibn Yamīn	fas	1286	1368	persian	b (verified author death year)	1438	PENDING_TEXT		table life: 1286–1368
Salmān Sāvajī	fas	1300	1376	persian	b (verified author death year)	1446	PENDING_TEXT		table life: 1300–1376
Ḥāfiẓ	fas	1315	1390	persian	c (author death year circa, not verified)	1460	PENDING_TEXT		table life: c. 1315–1390; death bounded at 1390 (circa), not verified
Kamāl Khujandī	fas		1400	persian	b (verified author death year)	1470	PENDING_TEXT		table life: d. 1400
Maghribī	fas	1349	1407	persian	b (verified author death year)	1477	PENDING_TEXT		table life: 1349–1407
Shāh Niʿmatullāh Valī	fas	1330	1431	persian	b (verified author death year)	1501	PENDING_TEXT		table life: 1330–1431
Qāsim al-Anvār	fas	1356	1433	persian	b (verified author death year)	1503	PENDING_TEXT		table life: 1356–1433
Kātibī Turshīzī	fas		1436	persian	b (verified author death year)	1506	PENDING_TEXT		table life: d. 1436
ʿAbd al-Raḥmān Jāmī	fas	1414	1492	persian	b (verified author death year)	1562	PENDING_TEXT		table life: 1414–1492
Hilālī Chaghatāʾī	fas		1529	persian	b (verified author death year)	1599	PENDING_TEXT		table life: d. 1529
Bābā Fighānī	fas		1519	persian	b (verified author death year)	1589	PENDING_TEXT		table life: d. 1519
Vaḥshī Bāfqī	fas	1532	1583	persian	b (verified author death year)	1653	PENDING_TEXT		table life: 1532–1583
Muḥtasham Kāshānī	fas	1528	1588	persian	b (verified author death year)	1658	PENDING_TEXT		table life: 1528–1588
ʿUrfī Shīrāzī	fas	1555	1591	persian	b (verified author death year)	1661	PENDING_TEXT		table life: 1555–1591
Naẓīrī Nīshāpūrī	fas		1614	persian	b (verified author death year)	1684	PENDING_TEXT		table life: d. 1614
Ṭālib Āmulī	fas	1580	1626	persian	b (verified author death year)	1696	PENDING_TEXT		table life: 1580–1626
Fayḍī	fas	1547	1595	persian	b (verified author death year)	1665	PENDING_TEXT		table life: 1547–1595
Ẓuhūrī Turshīzī	fas		1616	persian	b (verified author death year)	1686	PENDING_TEXT		table life: d. 1616
Kalīm Kāshānī	fas	1585	1651	persian	b (verified author death year)	1721	PENDING_TEXT		table life: 1585–1651
Ṣāʾib Tabrīzī	fas	1592	1676	persian	b (verified author death year)	1746	PENDING_TEXT		table life: 1592–1676
Qudsī Mashhadī	fas		1646	persian	b (verified author death year)	1716	PENDING_TEXT		table life: d. 1646
Fayḍ Kāshānī	fas	1598	1680	persian	b (verified author death year)	1750	PENDING_TEXT		table life: 1598–1680
ʿAlī Rizā Tajallī	fas		1673	persian	b (verified author death year)	1743	PENDING_TEXT		table life: d. 1673
Bīdil Dihlavī	fas	1642	1720	persian	b (verified author death year)	1790	PENDING_TEXT		table life: 1642–1720
Nāṣir ʿAlī Sirhindī	fas		1697	persian	b (verified author death year)	1767	PENDING_TEXT		table life: d. 1697
Shawkat Bukhārāʾī	fas		1695	persian	b (verified author death year)	1765	PENDING_TEXT		table life: d. 1695
Ghanī Kashmīrī	fas		1661	persian	b (verified author death year)	1731	PENDING_TEXT		table life: d. 1661
Hātif Iṣfahānī	fas		1783	persian	b (verified author death year)	1853	PENDING_TEXT		table life: d. 1783
Mushtāq Iṣfahānī	fas		1757	persian	b (verified author death year)	1827	PENDING_TEXT		table life: d. 1757
Āẕar Bīgdilī	fas	1722	1781	persian	b (verified author death year)	1851	PENDING_TEXT		table life: 1722–1781
Ṣabāḥī Bīdgulī	fas		1806	persian	b (verified author death year)	1876	PENDING_TEXT		table life: d. 1806
Fatḥ ʿAlī Khān Ṣabā	fas		1822	persian	b (verified author death year)	1892	PENDING_TEXT		table life: d. 1822
Nashāṭ Iṣfahānī	fas	1761	1828	persian	b (verified author death year)	1898	PENDING_TEXT		table life: 1761–1828
Vaṣāl Shīrāzī	fas	1779	1846	persian	b (verified author death year)	1916	PENDING_TEXT		table life: 1779–1846
Furūghī Bisṭāmī	fas	1798	1857	persian	b (verified author death year)	1927	PENDING_TEXT		table life: 1798–1857
Qāʾānī Shīrāzī	fas	1808	1854	persian	b (verified author death year)	1924	PENDING_TEXT		table life: 1808–1854
Yaghmā Jandaqī	fas	1782	1859	persian	b (verified author death year)	1929	PENDING_TEXT		table life: 1782–1859
Surūsh Iṣfahānī	fas	1813	1868	persian	b (verified author death year)	1938	PENDING_TEXT		table life: 1813–1868
Ṭāhira Qurrat al-ʿAyn	fas	1814	1852	persian	b (verified author death year)	1922	PENDING_TEXT		table life: 1814–1852
Shaybānī	fas	1825	1890	persian	b (verified author death year)	1960	PENDING_TEXT		table life: 1825–1890
Mikael Agricola	fin	1510	1557	finnish	c (author death year circa, not verified)	1627	PENDING_TEXT		table life: c. 1510–1557; death bounded at 1557 (circa), not verified
Jaakko Finno (Jacob Finnus)	fin	1540	1588	finnish	c (author death year circa, not verified)	1658	PENDING_TEXT		table life: c. 1540–1588; death bounded at 1588 (circa), not verified
Hemming of Masku (Hemming Henriksson)	fin	1550	1619	finnish	c (author death year circa, not verified)	1689	PENDING_TEXT		table life: c. 1550–1619; death bounded at 1619 (circa), not verified
Elias Lönnrot	fin	1802	1884	finnish	b (verified author death year)	1954	PENDING_TEXT		table life: 1802–1884
Jaakko Juteini (Jacob Judén)	fin	1781	1855	finnish	b (verified author death year)	1925	PENDING_TEXT		table life: 1781–1855
Aleksis Kivi	fin	1834	1872	finnish	b (verified author death year)	1942	PENDING_TEXT		table life: 1834–1872
Julius Krohn	fin	1835	1888	finnish	b (verified author death year)	1958	PENDING_TEXT		table life: 1835–1888
Kaarlo Kramsu	fin	1855	1895	finnish	b (verified author death year)	1965	PENDING_TEXT		table life: 1855–1895
Paavo Cajander	fin	1846	1913	finnish	b (verified author death year)	1983	PENDING_TEXT		table life: 1846–1913
J. H. Erkko (Juhana Heikki Erkko)	fin	1849	1906	finnish	b (verified author death year)	1976	PENDING_TEXT		table life: 1849–1906
Kasimir Leino	fin	1866	1919	finnish	b (verified author death year)	1989	PENDING_TEXT		table life: 1866–1919
Eino Leino	fin	1878	1926	finnish	b (verified author death year)	1996	PENDING_TEXT		table life: 1878–1926
Oskar Merikanto	fin	1868	1924	finnish	b (verified author death year)	1994	PENDING_TEXT		table life: 1868–1924
Aleksanteri Aava	fin	1883	1925	finnish	b (verified author death year)	1995	PENDING_TEXT		table life: 1883–1925
Qu Yuan (屈原)	ltc			chinese	a (antiquity, out of any term)	-930	PENDING_TEXT		table life: c. 340–278 BCE; death bounded at -1000 (BCE), not verified
Song Yu (宋玉)	ltc			chinese	a (antiquity, out of any term)	-930	PENDING_TEXT		table life: 3rd century BCE; death bounded at -1000 (BCE), not verified
Cao Cao (曹操)	ltc	155	220	chinese	b (verified author death year)	290	PENDING_TEXT		table life: 155–220
Tao Yuanming (陶淵明)	ltc	365	427	chinese	b (verified author death year)	497	PENDING_TEXT		table life: 365–427
Xie Lingyun (謝靈運)	ltc	385	433	chinese	b (verified author death year)	503	PENDING_TEXT		table life: 385–433
Yu Xin (庾信)	ltc	513	581	chinese	b (verified author death year)	651	PENDING_TEXT		table life: 513–581
Chen Zi'ang (陳子昂)	ltc	661	702	chinese	b (verified author death year)	772	PENDING_TEXT		table life: 661–702
Wang Wei (王維)	ltc	699	761	chinese	b (verified author death year)	831	PENDING_TEXT		table life: 699–761
Li Bai (李白)	ltc	701	762	chinese	b (verified author death year)	832	PENDING_TEXT		table life: 701–762
Du Fu (杜甫)	ltc	712	770	chinese	b (verified author death year)	840	PENDING_TEXT		table life: 712–770
Bai Juyi (白居易)	ltc	772	846	chinese	b (verified author death year)	916	PENDING_TEXT		table life: 772–846
Liu Yuxi (劉禹錫)	ltc	772	842	chinese	b (verified author death year)	912	PENDING_TEXT		table life: 772–842
Meng Jiao (孟郊)	ltc	751	814	chinese	b (verified author death year)	884	PENDING_TEXT		table life: 751–814
Li He (李賀)	ltc	790	816	chinese	b (verified author death year)	886	PENDING_TEXT		table life: 790–816
Du Mu (杜牧)	ltc	803	852	chinese	b (verified author death year)	922	PENDING_TEXT		table life: 803–852
Li Shangyin (李商隱)	ltc	813	858	chinese	c (author death year circa, not verified)	928	PENDING_TEXT		table life: c. 813–858; death bounded at 858 (circa), not verified
Wen Tingyun (溫庭筠)	ltc	812	866	chinese	c (author death year circa, not verified)	936	PENDING_TEXT		table life: c. 812–866; death bounded at 866 (circa), not verified
Li Yu (李煜)	ltc	937	978	chinese	b (verified author death year)	1048	PENDING_TEXT		table life: 937–978
Yan Shu (晏殊)	ltc	991	1055	chinese	b (verified author death year)	1125	PENDING_TEXT		table life: 991–1055
Liu Yong (柳永)	ltc	984	1053	chinese	c (author death year circa, not verified)	1123	PENDING_TEXT		table life: c. 984–1053; death bounded at 1053 (circa), not verified
Ouyang Xiu (歐陽修)	ltc	1007	1072	chinese	b (verified author death year)	1142	PENDING_TEXT		table life: 1007–1072
Fan Zhongyan (范仲淹)	ltc	989	1052	chinese	b (verified author death year)	1122	PENDING_TEXT		table life: 989–1052
Zhang Xian (張先)	ltc	990	1078	chinese	b (verified author death year)	1148	PENDING_TEXT		table life: 990–1078
Yan Jidao (晏幾道)	ltc	1038	1110	chinese	b (verified author death year)	1180	PENDING_TEXT		table life: 1038–1110
Su Shi (蘇軾)	ltc	1037	1101	chinese	b (verified author death year)	1171	PENDING_TEXT		table life: 1037–1101
Qin Guan (秦觀)	ltc	1049	1100	chinese	b (verified author death year)	1170	PENDING_TEXT		table life: 1049–1100
Huang Tingjian (黃庭堅)	ltc	1045	1105	chinese	b (verified author death year)	1175	PENDING_TEXT		table life: 1045–1105
Zhou Bangyan (周邦彥)	ltc	1056	1121	chinese	b (verified author death year)	1191	PENDING_TEXT		table life: 1056–1121
Li Qingzhao (李清照)	ltc	1084	1155	chinese	c (author death year circa, not verified)	1225	PENDING_TEXT		table life: 1084–c. 1155; death bounded at 1155 (circa), not verified
Xin Qiji (辛棄疾)	ltc	1140	1207	chinese	b (verified author death year)	1277	PENDING_TEXT		table life: 1140–1207
Jiang Kui (姜夔)	ltc	1154	1221	chinese	b (verified author death year)	1291	PENDING_TEXT		table life: 1154–1221
Wu Wenying (吳文英)	ltc	1200	1260	chinese	c (author death year circa, not verified)	1330	PENDING_TEXT		table life: c. 1200–1260; death bounded at 1260 (circa), not verified
Zhang Yan (張炎)	ltc	1248	1320	chinese	b (verified author death year)	1390	PENDING_TEXT		table life: 1248–1320
Guan Hanqing (關漢卿)	ltc	1241	1320	chinese	c (author death year circa, not verified)	1390	PENDING_TEXT		table life: c. 1241–1320; death bounded at 1320 (circa), not verified
Ma Zhiyuan (馬致遠)	ltc	1250	1321	chinese	c (author death year circa, not verified)	1391	PENDING_TEXT		table life: c. 1250–1321; death bounded at 1321 (circa), not verified
Zhang Kejiu (張可久)	ltc	1270	1348	chinese	c (author death year circa, not verified)	1418	PENDING_TEXT		table life: c. 1270–1348; death bounded at 1348 (circa), not verified
Gao Qi (高啟)	ltc	1336	1374	sanqu	b (verified author death year)	1444	PENDING_TEXT		table life: 1336–1374
Tang Yin (唐寅)	ltc	1470	1524	sanqu	b (verified author death year)	1594	PENDING_TEXT		table life: 1470–1524
Yang Shen (楊慎)	ltc	1488	1559	sanqu	b (verified author death year)	1629	PENDING_TEXT		table life: 1488–1559
Xu Wei (徐渭)	ltc	1521	1593	sanqu	b (verified author death year)	1663	PENDING_TEXT		table life: 1521–1593
Li Zhi (李贄)	ltc	1527	1602	sanqu	b (verified author death year)	1672	PENDING_TEXT		table life: 1527–1602
Yuan Hongdao (袁宏道)	ltc	1568	1610	sanqu	b (verified author death year)	1680	PENDING_TEXT		table life: 1568–1610
Tang Xianzu (湯顯祖)	ltc	1550	1616	sanqu	b (verified author death year)	1686	PENDING_TEXT		table life: 1550–1616
Feng Menglong (馮夢龍)	ltc	1574	1646	sanqu	b (verified author death year)	1716	PENDING_TEXT		table life: 1574–1646
Li Yu (李漁)	ltc	1611	1680	sanqu	b (verified author death year)	1750	PENDING_TEXT		table life: 1611–1680
Wu Weiye (吳偉業)	ltc	1609	1672	sanqu	b (verified author death year)	1742	PENDING_TEXT		table life: 1609–1672
Nalan Xingde (納蘭性德)	ltc	1655	1685	sanqu	b (verified author death year)	1755	PENDING_TEXT		table life: 1655–1685
Zhu Yizun (朱彝尊)	ltc	1629	1709	sanqu	b (verified author death year)	1779	PENDING_TEXT		table life: 1629–1709
Gu Yanwu (顧炎武)	ltc	1613	1682	sanqu	b (verified author death year)	1752	PENDING_TEXT		table life: 1613–1682
Wang Shizhen (王士禛)	ltc	1634	1711	sanqu	b (verified author death year)	1781	PENDING_TEXT		table life: 1634–1711
Yuan Mei (袁枚)	ltc	1716	1797	sanqu	b (verified author death year)	1867	PENDING_TEXT		table life: 1716–1797
Zhao Yi (趙翼)	ltc	1727	1814	sanqu	b (verified author death year)	1884	PENDING_TEXT		table life: 1727–1814
Huang Jingren (黃景仁)	ltc	1749	1783	sanqu	b (verified author death year)	1853	PENDING_TEXT		table life: 1749–1783
Gong Zizhen (龔自珍)	ltc	1792	1841	sanqu	b (verified author death year)	1911	PENDING_TEXT		table life: 1792–1841
Wei Yuan (魏源)	ltc	1794	1857	sanqu	b (verified author death year)	1927	PENDING_TEXT		table life: 1794–1857
Huang Zunxian (黃遵憲)	ltc	1848	1905	sanqu	b (verified author death year)	1975	PENDING_TEXT		table life: 1848–1905
Qiu Jin (秋瑾)	ltc	1875	1907	sanqu	b (verified author death year)	1977	PENDING_TEXT		table life: 1875–1907
Su Manshu (蘇曼殊)	ltc	1884	1918	sanqu	b (verified author death year)	1988	PENDING_TEXT		table life: 1884–1918
Wang Guowei (王國維)	ltc	1877	1927	sanqu	b (verified author death year)	1997	PENDING_TEXT		table life: 1877–1927
Hamzah Fansuri	msa		1590	malay	c (author death year circa, not verified)	1660	PENDING_TEXT		table life: d. c. 1590; death bounded at 1590 (circa), not verified
Shamsuddin al-Sumatrani	msa		1630	malay	c (author death year circa, not verified)	1700	PENDING_TEXT		table life: d. c. 1630; death bounded at 1630 (circa), not verified
Nuruddin al-Raniri	msa		1658	malay	c (author death year circa, not verified)	1728	PENDING_TEXT		table life: d. c. 1658; death bounded at 1658 (circa), not verified
Tun Sri Lanang	msa	1565	1659	malay	c (author death year circa, not verified)	1729	PENDING_TEXT		table life: c. 1565–c. 1659; death bounded at 1659 (circa), not verified
Bukhari al-Jauhari	msa			malay	d (century only; upper bound assumed)	1770	PENDING_TEXT		table life: fl. early 17th century; death bounded at 1700 (century), not verified
Raja Ali Haji	msa	1808	1873	malay	b (verified author death year)	1943	PENDING_TEXT		table life: 1808–1873
Abdullah bin Abdul Kadir (Munshi Abdullah)	msa	1797	1854	malay	b (verified author death year)	1924	PENDING_TEXT		table life: 1797–1854
Raja Ali Kelana	msa	1868	1927	malay	b (verified author death year)	1997	PENDING_TEXT		table life: 1868–1927
Bragi Boddason	non			old_norse	d (century only; upper bound assumed)	970	PENDING_TEXT		table life: fl. first half 9th c.; death bounded at 900 (century), not verified
Þjóðólfr ór Hvini	non			old_norse	d (century only; upper bound assumed)	970	PENDING_TEXT		table life: fl. 9th c.; death bounded at 900 (century), not verified
Þorbjǫrn hornklofi	non			old_norse	d (century only; upper bound assumed)	1070	PENDING_TEXT		table life: fl. 9th–early 10th c.; death bounded at 1000 (century), not verified
Glúmr Geirason	non			old_norse	d (century only; upper bound assumed)	1070	PENDING_TEXT		table life: fl. late 10th c.; death bounded at 1000 (century), not verified
Egill Skalla-Grímsson	non	910	990	old_norse	c (author death year circa, not verified)	1060	PENDING_TEXT		table life: c. 910–c. 990; death bounded at 990 (circa), not verified
Eyvindr skáldaspillir Finnsson	non			old_norse	d (century only; upper bound assumed)	1070	PENDING_TEXT		table life: fl. 10th c.; death bounded at 1000 (century), not verified
Kormákr Ögmundarson	non			old_norse	d (century only; upper bound assumed)	1070	PENDING_TEXT		table life: fl. 10th c.; death bounded at 1000 (century), not verified
Einar Helgason skálaglamm	non			old_norse	d (century only; upper bound assumed)	1070	PENDING_TEXT		table life: fl. late 10th c.; death bounded at 1000 (century), not verified
Tindr Hallkelsson	non			old_norse	d (century only; upper bound assumed)	1070	PENDING_TEXT		table life: fl. late 10th c.; death bounded at 1000 (century), not verified
Hallfreðr vandræðaskáld Óttarsson	non			old_norse	d (floruit only; upper bound assumed)	1111	PENDING_TEXT		table life: fl. c. 990–1001; death bounded at 1041 (floruit), not verified
Eilífr Goðrúnarson	non			old_norse	d (floruit only; upper bound assumed)	1110	PENDING_TEXT		table life: fl. c. 1000; death bounded at 1040 (floruit), not verified
Gunnlaugr ormstunga	non	983	1008	old_norse	c (author death year circa, not verified)	1078	PENDING_TEXT		table life: c. 983–c. 1008; death bounded at 1008 (circa), not verified
Sigvatr Þórðarson	non			old_norse	d (floruit only; upper bound assumed)	1150	PENDING_TEXT		table life: fl. c. 1010–1040; death bounded at 1080 (floruit), not verified
Óttarr svarti	non			old_norse	d (century only; upper bound assumed)	1170	PENDING_TEXT		table life: fl. early 11th c.; death bounded at 1100 (century), not verified
Þormóðr Kolbrúnarskáld	non	997	1030	old_norse	c (author death year circa, not verified)	1100	PENDING_TEXT		table life: c. 997–1030; death bounded at 1030 (circa), not verified
Arnórr jarlaskáld	non	1012	1075	old_norse	c (author death year circa, not verified)	1145	PENDING_TEXT		table life: c. 1012–1075; death bounded at 1075 (circa), not verified
Einarr Skúlason	non	1100		old_norse	c (death bounded below only; upper bound assumed)	1269	PENDING_TEXT		table life: c. 1100–after 1159; death bounded at 1199 (after), not verified
Bragi Hallsson	non			old_norse	d (century only; upper bound assumed)	1270	PENDING_TEXT		table life: 12th c.; death bounded at 1200 (century), not verified
Kálfr Hallsson	non			old_norse	d (century only; upper bound assumed)	1270	PENDING_TEXT		table life: 12th c.; death bounded at 1200 (century), not verified
Einarr Gilsson	non	1300	1340	old_norse	c (author death year circa, not verified)	1410	PENDING_TEXT		table life: c. 1300–1340; death bounded at 1340 (circa), not verified
Snorri Sturluson	non	1179	1241	old_norse	b (verified author death year)	1311	PENDING_TEXT		table life: 1179–1241
Sturla Þórðarson	non	1214	1284	old_norse	b (verified author death year)	1354	PENDING_TEXT		table life: 1214–1284
Óláfr Þórðarson hvítaskáld	non	1210	1259	old_norse	c (author death year circa, not verified)	1329	PENDING_TEXT		table life: c. 1210–1259; death bounded at 1259 (circa), not verified
Þórarinn loftunga	non			old_norse	d (century only; upper bound assumed)	1170	PENDING_TEXT		table life: 11th c.; death bounded at 1100 (century), not verified
Sighvatr Sturluson	non			old_norse	d (century only; upper bound assumed)	1370	PENDING_TEXT		table life: 13th c.; death bounded at 1300 (century), not verified
Vālmīki	san			sanskrit	d (era only; upper bound assumed)	570	PENDING_TEXT		table life: traditionally ancient; dates uncertain; death bounded at 500 (era), not verified
