# CMUdict letter-to-sound rules, derived by Viterbi-EM alignment.
# BUILT BY quality/g2p.py --train.  Training split = 105744 CMUdict headwords; 11749 held out (fraction 0.1, seed 20260811).
# Doctrine 13: these rules come from CMUdict, so any accuracy quoted for them is on the HELD-OUT split and nowhere else.
#kind	level	key	phones	count
L	3	gora	G ER	7
L	3	gord	AO R	6
L	3	gorn	AO R	3
L	3	gos$	OW Z	9
L	3	goss	S AH	6
L	3	gost	OW S	6
L	3	goti	G OW	14
L	3	gua$	W AH	6
L	3	guad	W AA	3
L	3	gual	G W	3
L	3	guan	W AA	4
L	3	guat	W AA	3
L	3	guay		4
L	3	guer	EH R	6
L	3	gues	EH S	20
L	3	guid		13
L	3	guil	IH L	18
L	3	guin	IH N	10
L	3	guir	W IH	5
L	3	guit	T AA	4
L	3	gulf	G AH	3
L	3	gull	L IH	6
L	3	gulp	AH L	3
L	3	gume	G Y	4
L	3	guns	N Z	6
L	3	gush		4
L	3	gway	W	3
L	3	gwen	EH N	3
L	3	gyra	R EY	4
L	3	hbal	L	3
L	3	hboa	AO R	3
L	3	hbor	B ER	5
L	3	hco$	K OW	3
L	3	hir$	IH R	3
L	3	hle$	L	18
L	3	hma$	M AH	3
L	3	hmar	AA R	4
L	3	hmel	EH L	6
L	3	hmer	M ER	13
L	3	hmey	M	5
L	3	hmil	L ER	3
L	3	hmit	M IH	5
L	3	hmor	AO R	4
L	3	hoar	AO R	3
L	3	hons	N Z	4
L	3	hted	T	15
L	3	htel	T	7
L	3	hten	AH N	17
L	3	htes	AH S	3
L	3	hti$	T IY	3
L	3	htie		4
L	3	htol	T	3
L	3	htow	T	3
L	3	htst	T	5
L	3	huan	AA N	4
L	3	hube	UW B	5
L	3	hue$	Y UW	8
L	3	hula	L AH	3
L	3	huld		3
L	3	hule	Y UW	3
L	3	huli	UW L	3
L	3	huls	L S	6
L	3	huma	UW M	30
L	3	hume	Y UW	6
L	3	humi	UW M	8
L	3	humo	Y UW	5
L	3	hunc		3
L	3	hune	UW N	3
L	3	hung		7
L	3	hunk		7
L	3	hurl	ER L	8
L	3	hurm	ER M	4
L	3	hurn	ER N	3
L	3	hurs	ER S	19
L	3	husb	Z B	3
L	3	huse	UW Z	4
L	3	husi	Z IY	5
L	3	husm	S M	3
L	3	hut$	HH AH	6
L	3	hwai	W EY	5
L	3	hwal	AO L	6
L	3	hway	SH W	3
L	3	hwed	W IY	3
L	3	hwei	W AY	9
L	3	hwel	EH L	5
L	3	hwen	EH N	3
L	3	hwer	W ER	3
L	3	hwin	IH N	4
L	3	hwoo	W UH	6
L	3	hyde	HH AY	3
L	3	hyle	IY N	3
L	3	hyme	R AY	4
L	3	hyph	F AH	4
L	3	hypn	P N	4
L	3	hypo	P AH	5
L	3	hyst	S T	6
L	3	hyth	IH DH	3
L	3	iban	B AE	4
L	3	ibar	B AA	5
L	3	ibas	B	3
L	3	ibbi	R IH	4
L	3	ibbl	R IH	14
L	3	ibby	IH	3
L	3	ibe$	AY B	10
L	3	ibea	B	7
L	3	ibed	AY B	5
L	3	ibel	B AH	11
L	3	ibes	R AY	11
L	3	ibet	B EH	3
L	3	ibi$	B IY	7
L	3	ibin	AY B	5
L	3	ibit	B AH	9
L	3	ibli	B L	4
L	3	ibul	IH B	5
L	3	ibus	AH B	4
L	3	ica$	K AH	95
L	3	icad	K EY	4
L	3	icap	IY K	3
L	3	icar	K AA	10
L	3	icat	AH K	74
L	3	icca	K	5
L	3	icci	R IY	6
L	3	icco	K OW	5
L	3	ice$	IH S	45
L	3	iced	R AY	6
L	3	icek	IH CH	6
L	3	icel	CH EH	4
L	3	icem	S M	5
L	3	icen	S AH	8
L	3	icer	S ER	11
L	3	iche	AY K	19
L	3	ichl	R AY	6
L	3	ichm	AY K	4
L	3	icho	N IH	11
L	3	ichs	N R	5
L	3	ici$	CH IY	8
L	3	icia	SH AH	19
L	3	icid	S AY	8
L	3	icie	AH N	8
L	3	icil	S IH	4
L	3	icin	AY S	12
L	3	icio	IH SH	14
L	3	icit	S AH	15
L	3	icka	IH K	13
L	3	icki	T S	18
L	3	ickl	IH K	22
L	3	ickn	IH K	5
L	3	icko	N IH	6
L	3	icks	R IH	19
L	3	ico$	K OW	26
L	3	icoa	K OW	6
L	3	icoc		3
L	3	icol	N IH	19
L	3	icor	K AO	6
L	3	icto	K	7
L	3	ictu		6
L	3	icus	AY K	3
L	3	icyc	S IH	3
L	3	idad	IH D	3
L	3	idal	D	12
L	3	idan	D	4
L	3	idat	D EY	20
L	3	iday	L IY	3
L	3	iddy	IH	6
L	3	idea	AY D	12
L	3	ided	D IH	16
L	3	idem	AH D	6
L	3	ider	D ER	62
L	3	ides	D Z	41
L	3	idew	S AY	3
L	3	idex	D EH	3
L	3	idi$	D IY	9
L	3	idia	D IY	5
L	3	idic	D	6
L	3	idie	D IY	3
L	3	idig	D	3
L	3	idin	D	13
L	3	idit	D AH	6
L	3	idle	D AH	10
L	3	idol	AY D	8
L	3	idon	D	5
L	3	idor	D AO	5
L	3	idow	D	3
L	3	idst	D S	3
L	3	idth	D	4
L	3	ifa$	F AH	3
L	3	ife$	AY F	14
L	3	ifel	F L	3
L	3	ifes	N AH	5
L	3	iff$	L IH	12
L	3	iffl	S N	4
L	3	iffo	F	3
L	3	iffy	IH	4
L	3	ifia	AY AH	4
L	3	ifin	F	3
L	3	ifis	IH F	3
L	3	ifle	AY F	4
L	3	ifto	F T	3
L	3	iga$	G AH	14
L	3	igab	G AH	3
L	3	igal	G AA	6
L	3	igar	G	3
L	3	igat	AH G	27
L	3	ige$	IH JH	4
L	3	igel	G AH	9
L	3	igen	JH AH	11
L	3	igeo	JH AH	3
L	3	iges	JH EH	5
L	3	igga	N IH	3
L	3	igge	IH G	8
L	3	iggi	G IH	11
L	3	iggl	G	9
L	3	iggy	IH	3
L	3	igh$	L IY	3
L	3	igha	EY G	3
L	3	ighb	N EY	11
L	3	ighf	AY F	4
L	3	ighl	HH AY	4
L	3	ighs	AY S	3
L	3	ight	R AY	68
L	3	igib	AH JH	5
L	3	igio	IH JH	4
L	3	igl$	G AH	3
L	3	igle	G AH	12
L	3	igma	IH G	10
L	3	ign$	AY N	7
L	3	igna	G N	16
L	3	igne	N ER	7
L	3	igni	G N	14
L	3	ignm	AY N	5
L	3	igns	N Z	3
L	3	igo$	R IY	5
L	3	igor	V IH	7
L	3	igot	G AH	6
L	3	igue	IY G	10
L	3	ihal	HH AH	4
L	3	ihan	AE N	5
L	3	ija$	JH AH	3
L	3	ikaw	K AA	6
L	3	iken	AH N	5
L	3	iker	K ER	25
L	3	ikes	K S	13
L	3	ikin	AY K	5
L	3	ikol	N IH	6
L	3	ikon	AY K	3
L	3	ikov	IH K	5
L	3	ikow	K AO	5
L	3	ikul	IH K	5
L	3	ilab	EY L	6
L	3	ilad		3
L	3	ilar	L ER	9
L	3	ilas	L	5
L	3	ilat	AH L	10
L	3	ilba	L	4
L	3	ilbe	L	17
L	3	ilbo	L	8
L	3	ilch		7
L	3	ildo	L D	3
L	3	ildr	D R	6
L	3	ildt		4
L	3	ilee	L IY	3
L	3	ilel		3
L	3	ilem	L M	4
L	3	ilen	L AH	7
L	3	ilep	AH L	4
L	3	iler	L ER	41
L	3	iles	L Z	31
L	3	ilet		3
L	3	iley		11
L	3	ilho		7
L	3	ili$	L IY	5
L	3	ilif		3
L	3	ilip		16
L	3	ilis	AH L	5
L	3	ilit	L AH	53
L	3	iliz	AH L	34
L	3	ilk$		6
L	3	ilki		5
L	3	ilkw	S IH	3
L	3	illn	IH L	3
L	3	ilma	L M	15
L	3	ilmo	L M	4
L	3	ilo$	L OW	5
L	3	ilon	L	4
L	3	ilor	L ER	5
L	3	ilos	L	6
L	3	ilot	L AH	8
L	3	ilso	L S	8
L	3	ilst	L S	3
L	3	ilth		4
L	3	iltn	L T	3
L	3	ilto	L T	8
L	3	ilya	L	3
L	3	imac	IH M	6
L	3	imag	IH M	25
L	3	iman	AH N	14
L	3	imar	M AA	7
L	3	imat	AH M	22
L	3	imax	M AE	3
L	3	imbl	M	5
L	3	imed	EY M	7
L	3	imek	M	3
L	3	imel	M AH	4
L	3	imen	AH M	16
L	3	imer	M ER	58
L	3	imes	M Z	12
L	3	imet	M AH	7
L	3	imi$	M IY	5
L	3	imil	M AH	6
L	3	imis	M	5
L	3	imiz	AH M	18
L	3	imle	EY M	3
L	3	imm$	R IH	5
L	3	imog	IH M	3
L	3	imon	M	12
L	3	imor	IY M	7
L	3	imur	M UW	3
L	3	ina$	N AH	165
L	3	inak	IH N	3
L	3	inam	N AH	3
L	3	inca	IH N	20
L	3	incr	IH N	9
L	3	inee	AH N	8
L	3	ineg	N IH	6
L	3	ineh	N HH	3
L	3	inek	IH N	3
L	3	ineq	IH N	3
L	3	iner	N ER	88
L	3	inev	IH N	3
L	3	inex	IH N	7
L	3	infi	IH N	18
L	3	infr	IH N	10
L	3	inha	IH N	15
L	3	inhe	IH N	9
L	3	inhi	IH N	6
L	3	inhu	IH N	3
L	3	ini$	N IY	91
L	3	inid	IH N	3
L	3	inie	N IY	5
L	3	init	IH N	17
L	3	insi	IH N	15
L	3	inte	IH N	228
L	3	inun	IH N	4
L	3	inva	IH N	16
L	3	inya	N Y	3
L	3	ioce	AH S	3
L	3	iodi	R IY	3
L	3	iola	IY OW	11
L	3	ioli	AH L	3
L	3	ionl	N L	3
L	3	ions	N Z	250
L	3	iont		4
L	3	ior$	IY ER	8
L	3	iora	Y ER	3
L	3	iore	R IY	8
L	3	iors	R IY	4
L	3	ios$	R IY	8
L	3	ioti	IY AA	5
L	3	ioto	IY OW	3
L	3	iots	IY AH	4
L	3	iova	V AA	4
L	3	ipa$	P AH	7
L	3	ipar	P AA	3
L	3	iped	R AY	3
L	3	iper	P ER	14
L	3	ipes	P S	8
L	3	ipet	P EH	4
L	3	ipin	P	5
L	3	ipit	IH P	7
L	3	ipki	P K	3
L	3	ipli	P L	6
L	3	ipod	T IH	3
L	3	ipos	R IH	3
L	3	ipp$	IH	7
L	3	ippl	R IH	7
L	3	ippy	IH	4
L	3	ipsa	P	3
L	3	ipsc	IH P	3
L	3	ipto	IH P	4
L	3	ipts	IH P	3
L	3	ique	IY K	5
L	3	isa$	S AH	18
L	3	isaa	AY Z	4
L	3	isad	S AH	3
L	3	isag	S AH	4
L	3	isak	IH S	3
L	3	isan	AH Z	6
L	3	isar	S AA	5
L	3	isba	IH S	4
L	3	iscr	S K	16
L	3	isdi	S D	5
L	3	isei	S EY	3
L	3	isek	IH S	4
L	3	isem	Z M	3
L	3	isen	AY Z	19
L	3	iser	Z ER	28
L	3	isex	S EH	3
L	3	isi$	S IY	14
L	3	isid	S AY	5
L	3	isin	S IH	21
L	3	isit	Z IH	7
L	3	iska	IH S	5
L	3	iski	R IH	5
L	3	isma		20
L	3	isme		4
L	3	ismi		6
L	3	ismo		8
L	3	isms		6
L	3	ismu		3
L	3	isra	R EY	3
L	3	isru		7
L	3	isus	S Y	4
L	3	ita$	T AH	87
L	3	itar	T EH	13
L	3	itas	AY T	3
L	3	itca	T	3
L	3	itco	T	5
L	3	itee	IH R	3
L	3	item	AY T	8
L	3	iter	T ER	58
L	3	ites	T S	48
L	3	itex	T EH	3
L	3	ithm	ER IH	3
L	3	itho	L IH	4
L	3	ithr	IH TH	3
L	3	iths	IH TH	4
L	3	iti$	T IY	14
L	3	itia	IH SH	19
L	3	itib	T IY	3
L	3	itil	IH T	3
L	3	itio	IH SH	102
L	3	itiv	AH T	13
L	3	itle	AY T	6
L	3	itme	T	5
L	3	iton	T	4
L	3	itor	AH T	15
L	3	itou	T	8
L	3	itre	T ER	4
L	3	itsc		9
L	3	itse	T	4
L	3	itsk	T	3
L	3	itsu	T	7
L	3	itt$		37
L	3	itti		19
L	3	ittl	L IH	13
L	3	itty		6
L	3	itua	IH CH	6
L	3	itur	IH CH	3
L	3	itut	S T	22
L	3	itzn	T S	3
L	3	iull	UW	3
L	3	iump		3
L	3	ivab	IY V	3
L	3	ivan	IH V	7
L	3	ivar	AA R	4
L	3	ivas	IY V	3
L	3	ivat	AH V	14
L	3	ived	AY V	5
L	3	iver	V ER	82
L	3	ives	V Z	47
L	3	ivet	R IH	7
L	3	ivia	V IY	6
L	3	ivid	V AY	9
L	3	ivie	V IY	7
L	3	ivil	V AH	8
L	3	ivio	V IY	3
L	3	ivo$	V OW	3
L	3	ivor	IH V	5
L	3	ixed	IH K	7
L	3	ixer	S ER	3
L	3	ixie	IH K	3
L	3	iya$	IY AH	6
L	3	iza$	Z AH	8
L	3	izan	IH Z	3
L	3	izar	Z ER	7
L	3	izen	Z AH	4
L	3	izer	Z ER	42
L	3	izzi	IY T	7
L	3	izzy		5
L	3	joha	HH AE	7
L	3	join	OY N	8
L	3	jona	N AH	3
L	3	jone	N Z	4
L	3	jong		4
L	3	jos$	OW Z	3
L	3	juga	JH AH	3
L	3	jun$	AH N	3
L	3	junc	NG K	5
L	3	jung		5
L	3	juni	UW N	3
L	3	jura	R AH	3
L	3	juri	R AH	5
L	3	kboa	AO R	3
L	3	kdat	D EY	3
L	3	khar	AA R	8
L	3	khei	HH AY	4
L	3	khof		4
L	3	khou	HH	5
L	3	kken	AH N	3
L	3	kker	K ER	3
L	3	klar	AA R	3
L	3	klas	AE S	3
L	3	klee	L IY	3
L	3	klei	AY N	15
L	3	klen	L EH	3
L	3	klos	AO S	3
L	3	kmar	M AA	4
L	3	kmat	M EY	3
L	3	koer	AO R	3
L	3	kon$	AA N	4
L	3	kora	R AH	4
L	3	kore	AO R	4
L	3	kors	R S	3
L	3	kos$	OW Z	10
L	3	kosi	OW S	3
L	3	ksen	AH N	6
L	3	ksma	K S	3
L	3	kton	AH N	4
L	3	kula	L AH	4
L	3	kuli	UW L	6
L	3	kum$	K AH	5
L	3	kuma	UW M	4
L	3	kuna	N AA	3
L	3	kunk	AH NG	3
L	3	kup$	K AH	5
L	3	kups	K AH	3
L	3	kura	R AA	4
L	3	kuro	R OW	3
L	3	kwan	AA N	3
L	3	kwat	W AO	4
L	3	kwee	W IY	4
L	3	kwoo	W UH	10
L	3	kyli	AY	3
L	3	lba$	B AH	3
L	3	lbac	L B	5
L	3	lban	B AE	5
L	3	lbar	AA R	4
L	3	lbat	B AH	3
L	3	lbau	AH L	4
L	3	lbea	B	4
L	3	lbec	B	3
L	3	lbee	B IY	3
L	3	lbil	B IH	3
L	3	lbor	ER N	6
L	3	lbou	L B	4
L	3	lbow	EH L	3
L	3	lbro	R OW	3
L	3	lbus	B	3
L	3	lcan	K	3
L	3	lcat	K AH	3
L	3	lcoh	K AH	5
L	3	lcom	K AH	11
L	3	lcon	AH N	8
L	3	lcor	AO R	6
L	3	lcox	K AA	6
L	3	ldan	D AE	3
L	3	lday	D	3
L	3	lde$	D	15
L	3	lded	D IH	10
L	3	ldem	D M	3
L	3	lden	AH N	31
L	3	ldes	D AH	4
L	3	ldi$	D IY	16
L	3	ldie	D IY	5
L	3	ldiv	IY V	3
L	3	ldoc	D	3
L	3	ldom	D	3
L	3	ldon	AH N	9
L	3	ldor	D AO	7
L	3	ldov	OW V	3
L	3	ldoz	D	3
L	3	ldre	AH N	6
L	3	ldri	D R	6
L	3	ldsc	D	4
L	3	ldso	D S	4
L	3	ldst	S T	5
L	3	ldwi	D W	5
L	3	lfe$	L F	6
L	3	lfig	UH L	4
L	3	lfil	IH L	6
L	3	lfin	L F	4
L	3	lfis	L F	5
L	3	lfon	F	3
L	3	lgar	G ER	4
L	3	lgat	G EY	7
L	3	lgeb	JH AH	3
L	3	lgor	AO R	3
L	3	lgue	G EH	3
L	3	lhan	HH EY	3
L	3	lhei	HH AY	4
L	3	lhoi	HH OY	4
L	3	lhor	ER N	4
L	3	lkan	AH N	4
L	3	lkar	AA R	3
L	3	lken	AH N	6
L	3	lker	K ER	22
L	3	lkes	K S	6
L	3	lkie	K IY	4
L	3	lkis	IH S	3
L	3	lkow	K AO	11
L	3	lkwo	L K	3
L	3	llab	L	7
L	3	llac		9
L	3	llag	L	6
L	3	llah		15
L	3	llal	L AA	3
L	3	llam		8
L	3	llan	AH N	60
L	3	llar	L ER	42
L	3	llas	AH Z	15
L	3	llat	EY SH	10
L	3	llau		3
L	3	llaw		3
L	3	llay	AH L	3
L	3	llbi	L	3
L	3	llea		5
L	3	llef	F S	3
L	3	lleg	AH G	5
L	3	llej	L EY	3
L	3	llen	AH N	77
L	3	ller	L ER	125
L	3	lles	L Z	19
L	3	llet		46
L	3	llev	IY V	4
L	3	lley		54
L	3	llfo	L	3
L	3	llha	L	3
L	3	llia	AH N	13
L	3	llib	L	4
L	3	llic		20
L	3	llid	L AY	6
L	3	llif		8
L	3	llig	L	9
L	3	llih	L IH	3
L	3	llik	IH K	4
L	3	llil	AH L	5
L	3	llim	IH M	4
L	3	llin	L	75
L	3	llio	AH N	25
L	3	llip		12
L	3	llis	IH S	48
L	3	llit	IH T	4
L	3	lliu		4
L	3	lliv		5
L	3	llme	L	8
L	3	lloc		17
L	3	llog		3
L	3	lloi	L OY	3
L	3	llom		6
L	3	llon	AH N	23
L	3	lloo	UW N	5
L	3	llop	L AH	4
L	3	llor	L ER	8
L	3	llos	OW Z	6
L	3	llot		6
L	3	llou		11
L	3	llow		55
L	3	lloy		6
L	3	llpo	L P	3
L	3	llsb		3
L	3	llsh		4
L	3	llso	AH N	4
L	3	llst	S T	10
L	3	llul	L	5
L	3	llur	AH L	3
L	3	llus	L	12
L	3	llys	IH S	3
L	3	lma$	M AH	22
L	3	lmac	EH L	4
L	3	lmak	M	3
L	3	lmar	AA R	10
L	3	lme$	M	3
L	3	lmed	M	5
L	3	lmen	EH N	9
L	3	lmes	M Z	6
L	3	lmet	M	4
L	3	lmey	M	8
L	3	lmi$	M IY	5
L	3	lmo$	M OW	7
L	3	lmol	AH JH	3
L	3	lmon	AH N	7
L	3	lmou	M	3
L	3	lmst	M S	5
L	3	loan	OW N	4
L	3	lona	N AH	3
L	3	loni	AH N	8
L	3	lons	N Z	8
L	3	lonz	AA N	3
L	3	lors	ER Z	7
L	3	losa	S AA	3
L	3	lpap	P EY	3
L	3	lph$	D AA	3
L	3	lphi	L F	4
L	3	lpho	F AA	3
L	3	lpit	P IH	4
L	3	lpoi	OY N	3
L	3	lsa$	S AH	4
L	3	lser	S ER	6
L	3	ltai	T EY	3
L	3	ltan	AH N	7
L	3	lte$	T	8
L	3	ltec	T	4
L	3	lted	T	17
L	3	ltel	T	3
L	3	lten	AH N	7
L	3	ltes	T S	3
L	3	ltha	AE L	4
L	3	lthi	TH IY	5
L	3	ltie	IY Z	5
L	3	lto$	T OW	7
L	3	ltop	T	3
L	3	ltra	T R	5
L	3	ltre	R IY	4
L	3	ltro	T R	3
L	3	ltur	CH ER	7
L	3	luba	L UW	3
L	3	lube	L UW	5
L	3	lubr	UW B	6
L	3	luca	L UW	5
L	3	lucc	L UW	12
L	3	luce	L UW	3
L	3	luci	L UW	12
L	3	luco	UW K	4
L	3	lucr	UW K	4
L	3	luct	AH K	5
L	3	ludl	L AH	3
L	3	ludm	L AH	3
L	3	ludw	L AH	4
L	3	luen	AH N	6
L	3	luep	UW P	5
L	3	lues	UW Z	5
L	3	luft	L AH	4
L	3	lug$	L AH	3
L	3	luk$	L AH	3
L	3	luka	L AH	4
L	3	lula	Y AH	6
L	3	lull	AH L	4
L	3	lume	L UW	13
L	3	lumi	UW M	14
L	3	luna	N AH	5
L	3	lunc	L AH	7
L	3	lung	L AH	10
L	3	lunk	AH NG	14
L	3	lura	UH R	5
L	3	lure	UH R	3
L	3	luri	UH R	5
L	3	lurl	ER L	3
L	3	lusc	L AH	3
L	3	lush	L AH	8
L	3	lusi	UW S	16
L	3	lusk	L AH	4
L	3	luso	S OW	3
L	3	luta	UW T	3
L	3	lutc	K L	3
L	3	luti	UW SH	16
L	3	luto	UW T	5
L	3	lutt	L AH	22
L	3	lutz	L AH	5
L	3	lvag	L V	8
L	3	lvai	EY N	5
L	3	lvan	AH N	6
L	3	lvar	V ER	4
L	3	lvat	V AA	4
L	3	lven	AH N	6
L	3	lver	V ER	30
L	3	lves	V Z	22
L	3	lvet	V AH	3
L	3	lvey	AE L	3
L	3	lvia	IY AH	5
L	3	lvig	L V	3
L	3	lvil	V IH	6
L	3	lvin	L V	8
L	3	lwai	EY N	3
L	3	lway	L W	6
L	3	lwor	W ER	8
L	3	lyan	AE N	4
L	3	lyar	Y AA	4
L	3	lyce	IH S	3
L	3	lydi	L IH	3
L	3	lye$	L AY	4
L	3	lygr	L IY	3
L	3	lyme	M ER	3
L	3	lymo	L IY	3
L	3	lync	L IH	3
L	3	lyne	AY N	6
L	3	lys$	IY Z	4
L	3	lyte	L AY	5
L	3	lyti	AH L	8
L	3	lzel	Z AH	4
L	3	mba$	B AH	20
L	3	mbal	B AH	4
L	3	mban	B AE	4
L	3	mbar	AA R	10
L	3	mbas	B AE	8
L	3	mbat	B AE	10
L	3	mbe$	B IY	4
L	3	mbea	B	3
L	3	mbec	B	3
L	3	mbed		5
L	3	mbek	B	3
L	3	mbel	B AH	7
L	3	mbez	B EH	3
L	3	mbia	IY AH	7
L	3	mbin		8
L	3	mbit	B IH	4
L	3	mbla	M B	5
L	3	mbly	EH M	3
L	3	mbob	M B	4
L	3	mbod	B AA	7
L	3	mbor	B AO	3
L	3	mbos	OW S	3
L	3	mboy	B	4
L	3	mbra	R AH	7
L	3	mbri	B	12
L	3	mbry	B	4
L	3	mcan	K AH	3
L	3	mcca	AH K	32
L	3	mccl	K L	26
L	3	mccr	AH K	15
L	3	mcda	K D	5
L	3	mcfe	K F	4
L	3	mcgi	AH G	12
L	3	mcgl	G L	5
L	3	mcgr	G R	8
L	3	mcin	AE K	4
L	3	mcka		3
L	3	mcko		3
L	3	mcma	K M	12
L	3	mcme	K M	4
L	3	mcmo	K M	3
L	3	mcne	K N	13
L	3	mcni	K N	5
L	3	mcor	K	3
L	3	mcpa	K P	3
L	3	mir$	IH R	6
L	3	mler	L ER	16
L	3	mles	L	4
L	3	mmag	M	5
L	3	mman	AH N	12
L	3	mmar	ER	6
L	3	mmel	AH L	30
L	3	mmen	AH N	15
L	3	mmer	ER	54
L	3	mmet	IH	5
L	3	mmi$	IY	4
L	3	mmie	IY	7
L	3	mmig	AH G	4
L	3	mmis	IH SH	6
L	3	mmit	IH	20
L	3	mmo$	OW	3
L	3	mmob	OW B	5
L	3	mmod	M AH	5
L	3	mmol	AH L	4
L	3	mmor	AO R	8
L	3	mmut	M	7
L	3	mner	N ER	3
L	3	moan	OW N	4
L	3	mon$	AH N	52
L	3	moni	AH N	15
L	3	monn	AA N	4
L	3	mons	N S	21
L	3	monu	N Y	3
L	3	mony	M OW	6
L	3	morg	R G	8
L	3	mori	R IY	17
L	3	morn	R N	4
L	3	mors	R S	4
L	3	mos$	OW Z	8
L	3	mosa	S AH	3
L	3	mova	M UW	3
L	3	mpa$	P AH	7
L	3	mpag	M P	4
L	3	mpal	P EY	4
L	3	mpan	P AH	10
L	3	mpar	EH R	5
L	3	mpas	AH S	6
L	3	mpe$	P	6
L	3	mpea	P	9
L	3	mped	P	15
L	3	mpel	P AH	11
L	3	mpen	S EY	6
L	3	mpet	P AH	11
L	3	mph$	F	7
L	3	mphe	F EH	3
L	3	mphr	F R	5
L	3	mpi$	P IY	3
L	3	mpie	P IY	3
L	3	mpil	P AY	4
L	3	mpio	AH N	4
L	3	mpir	P IH	4
L	3	mple	P AH	23
L	3	mply	P	5
L	3	mpo$	P OW	8
L	3	mpon	P AA	3
L	3	mpoo	P UW	5
L	3	mpos	OW Z	10
L	3	mpov	P AA	4
L	3	mpto	P T	15
L	3	mpul	P AH	8
L	3	msen	AH N	3
L	3	mser	Z ER	3
L	3	mudg		4
L	3	muha	UH	3
L	3	mula	Y AH	29
L	3	mule	Y UW	3
L	3	mune	UW N	8
L	3	muni	N AH	15
L	3	munk	AH NG	4
L	3	muno	N OW	4
L	3	muns	N S	3
L	3	mura	R AH	19
L	3	mure	UH R	3
L	3	muri	UH R	4
L	3	murk		3
L	3	muro	R OW	3
L	3	murp		5
L	3	murr		7
L	3	murs	ER Z	3
L	3	musa	Y UW	3
L	3	muse	Y UW	7
L	3	mush		4
L	3	musi	Y UW	9
L	3	mut$	AH	5
L	3	muth		14
L	3	mutt	AH	9
L	3	mutz	AH	4
L	3	mwoo	W UH	3
L	3	nbar	AA R	10
L	3	nbau	B	9
L	3	nbea	B IY	4
L	3	nbec	L AH	3
L	3	nbel	B AH	4
L	3	nbor	B AO	5
L	3	nbos	AH N	3
L	3	nbus	N B	3
L	3	ncam	IH N	4
L	3	ncan	K AE	5
L	3	ncar	K AA	10
L	3	ncat	AE T	4
L	3	ncer	S ER	26
L	3	ncey		4
L	3	ncha	EH N	6
L	3	nchm	EH N	4
L	3	ncho	AE NG	7
L	3	nchr	NG K	8
L	3	nci$	CH IY	4
L	3	ncia	S IY	6
L	3	ncid	S AH	6
L	3	ncio	N CH	6
L	3	ncip	S AH	6
L	3	ncir	S ER	4
L	3	ncis	IH N	5
L	3	ncit	S AY	4
L	3	nckl	NG K	3
L	3	ncla	K L	5
L	3	ncli	K L	4
L	3	nclo	IH N	3
L	3	nclu	IH N	7
L	3	nco$	AA N	9
L	3	ncoa	K OW	3
L	3	ncom	IH N	14
L	3	ncon	K AH	15
L	3	ncop	NG K	3
L	3	ncov	K AH	3
L	3	ncro	IH N	4
L	3	ncru	EH N	3
L	3	nct$	IH NG	4
L	3	ncti	K SH	12
L	3	ncul	IH NG	3
L	3	ncum	EH N	4
L	3	ncyc	IH N	3
L	3	ndab	D	7
L	3	ndag	N D	7
L	3	ndai	D AY	3
L	3	ndal	N D	23
L	3	ndam	AH M	5
L	3	ndan	N D	17
L	3	ndar	D ER	6
L	3	ndat	D EY	6
L	3	ndau	AE N	3
L	3	nday	N D	3
L	3	ndbl	IH N	3
L	3	nde$	D	19
L	3	ndea	IH N	4
L	3	ndec	D	5
L	3	nded	D IH	39
L	3	ndee	D IY	7
L	3	ndef	D IH	3
L	3	ndel	N D	47
L	3	ndem	N D	8
L	3	nden	N D	29
L	3	ndes	N D	12
L	3	ndet	D IH	6
L	3	ndev	N D	8
L	3	ndew	N D	3
L	3	ndex	D EH	7
L	3	ndez	N D	7
L	3	ndfa	R AE	4
L	3	ndfo	D	3
L	3	ndi$	D IY	27
L	3	ndia	D IY	5
L	3	ndie	D IY	13
L	3	ndig	D	7
L	3	ndim	AH M	3
L	3	ndis	D	12
L	3	ndiv	IH N	8
L	3	ndix	D IH	3
L	3	ndma	AE N	6
L	3	ndmi	N D	3
L	3	ndne	N D	4
L	3	ndoc	EH N	5
L	3	ndor	D AO	11
L	3	ndot	EH N	4
L	3	ndra	R AH	21
L	3	ndre	D R	18
L	3	ndru	AE N	5
L	3	ndsa	N D	4
L	3	ndsc	N D	3
L	3	ndse	N D	8
L	3	ndsh	N D	6
L	3	ndso	D S	5
L	3	ndst	N D	15
L	3	ndtr	N D	3
L	3	nduc	N D	14
L	3	ndur	UH R	4
L	3	ndwi	S AE	3
L	3	nfan	F AH	5
L	3	nfec	IH N	10
L	3	nfer	F ER	12
L	3	nfes	IH N	4
L	3	nfil	F IH	8
L	3	nfin	F IH	7
L	3	nflo	N F	3
L	3	nfol	F OW	4
L	3	nfor	N F	22
L	3	nfou	N F	4
L	3	nfra	F	4
L	3	nfri	F R	6
L	3	nfur	F	3
L	3	nfus	IH N	5
L	3	ngag	N G	4
L	3	ngal	NG G	5
L	3	ngam	G AA	3
L	3	ngan	NG G	6
L	3	ngar	AA R	9
L	3	ngas	NG G	4
L	3	ngat	G EY	3
L	3	ngbu	AE NG	3
L	3	ngdo	NG D	5
L	3	nge$	N JH	53
L	3	ngea	N JH	5
L	3	nged	N JH	16
